epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,463.337,0.39487,0.99333,1,0.01737,0.000332222,0.000332222,0.06711
2,949.928,0.10717,1,1,0.001,0.000652378,0.000652378,0.0340968
3,1431.1,0.10092,1,1,0.00139,0.000959333,0.000959333,0.00107044
4,1916.69,0.08843,1,1,0.00088,0.0009406,0.0009406,0.0009406
5,2364.39,0.06945,1,1,0.00015,0.0009208,0.0009208,0.0009208
6,2812.55,0.05873,1,1,0.00482,0.000901,0.000901,0.000901
7,3280.65,0.04424,1,1,0.00966,0.0008812,0.0008812,0.0008812
8,3740.01,0.03606,1,1,0.00011,0.0008614,0.0008614,0.0008614
9,4200.02,0.03827,1,1,0.00157,0.0008416,0.0008416,0.0008416
10,4665.86,0.0398,0.99667,1,0.00502,0.0008218,0.0008218,0.0008218
11,5120.53,0.03627,1,1,0.00051,0.000802,0.000802,0.000802
12,5579.41,0.03339,1,1,0.00025,0.0007822,0.0007822,0.0007822
