epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,317,0.35796,1,1,0.00316,0.000332222,0.000332222,0.06711
2,632.312,0.10233,1,1,0.00345,0.000652378,0.000652378,0.0340968
3,947.303,0.09163,0.99833,1,0.00234,0.000959333,0.000959333,0.00107044
4,1260.78,0.0571,1,1,8e-05,0.0009406,0.0009406,0.0009406
5,1556.82,0.06421,1,1,0.00166,0.0009208,0.0009208,0.0009208
6,1852.09,0.05966,1,1,0.00171,0.000901,0.000901,0.000901
7,2150.05,0.05166,0.99833,1,0.01266,0.0008812,0.0008812,0.0008812
8,2442.48,0.03677,1,1,0.00124,0.0008614,0.0008614,0.0008614
9,2734.41,0.03923,1,1,0.00097,0.0008416,0.0008416,0.0008416
10,3025.55,0.04145,1,1,0.00034,0.0008218,0.0008218,0.0008218
11,3318.22,0.03727,0.99833,1,0.00132,0.000802,0.000802,0.000802
